text,label
"Suggest a museum with a focus on textiles.","Art"
"I'm looking for a place with historical artifacts.","Art"
"Find an art fair or festival.","Art"
"Where can I see some video art?","Art"
"I want to visit a gallery that specializes in prints.","Art"
"Show me places with outdoor sculptures.","Art"
"Are there any art museums with free admission?","Art"
"I'm looking for a gallery walk or art tour.","Art"
"Where can I find a place that sells local art?","Art"
"Suggest a museum for a family with kids.","Art"
"Find a gallery with a specific artist's work.","Art"
"I'm looking for a nice trail for a morning run.","Outdoors"
"Where's a good place for a picnic?","Outdoors"
"Show me scenic viewpoints for a sunset.","Outdoors"
"Are there any public gardens or arboretums to visit?","Outdoors"
"Find a park with a playground for kids.","Outdoors"
"I want to go for a hike in the mountains.","Outdoors"
"Where can I find a dog-friendly park?","Outdoors"
"Suggest a place for birdwatching.","Outdoors"
"I'm looking for a beach to relax on.","Outdoors"
"Find a place for kayaking or canoeing.","Outdoors"
"Where can I go for a scenic bike ride?","Outdoors"
"Show me a good spot for fishing.","Outdoors"
"I want to find a place to go camping.","Outdoors"
"Are there any botanical gardens nearby?","Outdoors"
"Where can I find a nature reserve?","Outdoors"
"Suggest a park with a lake or pond.","Outdoors"
"I'm looking for a place with beautiful waterfalls.","Outdoors"
"Find a scenic overlook for photos.","Outdoors"
"Where can I go for a peaceful walk in nature?","Outdoors"
"Show me a park with barbecue pits.","Outdoors"
"I want to find a place for stargazing.","Outdoors"
"Are there any community gardens I can visit?","Outdoors"
"Where can I find a good spot for rock climbing?","Outdoors"
"Suggest a place for a family outing outdoors.","Outdoors"
"I'm looking for a quiet spot to read in a park.","Outdoors"
"Find a park with sports fields.","Outdoors"
"Where can I go for a swim in a lake?","Outdoors"
"Show me a trail that's good for beginners.","Outdoors"
"I want to find a place with great fall foliage.","Outdoors"
"Are there any national parks in the area?","Outdoors"
"Find me a clothing store.","Shopping"
"I need to buy a new pair of shoes.","Shopping"
"Where can I find a good bookstore?","Shopping"
"Show me some electronics stores.","Shopping"
"I'm looking for a place to buy furniture.","Shopping"
"Where can I find a jewelry store?","Shopping"
"Suggest a good gift shop.","Shopping"
"I need to go to a department store.","Shopping"
"Find a boutique with unique clothes.","Shopping"
"Where can I buy some souvenirs?","Shopping"
"I'm looking for a vintage or thrift store.","Shopping"
"Show me a mall with a lot of stores.","Shopping"
"Where can I find a home goods store?","Shopping"
"I need to buy some sporting goods.","Shopping"
"Find a local market with fresh produce.","Shopping"
"Where can I find a toy store?","Shopping"
"I'm looking for a shop that sells handmade crafts.","Shopping"
"Suggest a place to buy cosmetics.","Shopping"
"Where can I find a good record store?","Shopping"
"I need to find a hardware store.","Shopping"
"Show me some antique shops.","Shopping"
"I'm looking for a store that sells outdoor gear.","Shopping"
"Where can I find a specialty food shop?","Shopping"
"Find a place that sells stationery.","Shopping"
"I need to buy a new phone.","Shopping"
"Where can I find a good tailor or seamstress?","Shopping"
"Suggest a luxury shopping district.","Shopping"
"I'm looking for a discount outlet store.","Shopping"
"Where can I find a pet supply store?","Shopping"
"Find a shop that sells plants and gardening supplies.","Shopping"
"I'm looking for a bar with craft cocktails.","Drinks"
"Where can I find a good wine bar?","Drinks"
"Show me a brewery with a taproom.","Drinks"
"I want to find a rooftop bar with a great view.","Drinks"
"Suggest a place for happy hour.","Drinks"
"I'm looking for a sports bar to watch the game.","Drinks"
"Find a quiet bar for a conversation.","Drinks"
"Where can I find a place with live music and drinks?","Drinks"
"I need a bar that's open late.","Drinks"
"Show me a place with a good selection of whiskey.","Drinks"
"I'm looking for a cozy pub.","Drinks"
"Find a bar with outdoor seating.","Drinks"
"Where can I get a good margarita?","Drinks"
"Suggest a tiki bar.","Drinks"
"I want to find a speakeasy-style bar.","Drinks"
"Where can I go for a pub crawl?","Drinks"
"Show me a bar with a dance floor.","Drinks"
"I'm looking for a place that serves non-alcoholic cocktails.","Drinks"
"Find a bar with a pool table.","Drinks"
"Where can I find a good cider house?","Drinks"
"Suggest a bar with a good beer garden.","Drinks"
"I need a place for a pre-dinner drink.","Drinks"
"Where can I find a bar that serves snacks?","Drinks"
"Show me a trendy cocktail lounge.","Drinks"
"I'm looking for a dive bar.","Drinks"
"Find a place with a good selection of gin.","Drinks"
"Where can I go for a wine tasting?","Drinks"
"Suggest a bar with a relaxed atmosphere.","Drinks"
"I want to find a place with cheap drinks.","Drinks"
"Where can I get a good bloody mary?","Drinks"
"I'm looking for a good Italian restaurant.","Food"
"Where can I find some great pizza?","Food"
"Show me the best burger joints in town.","Food"
"I'm in the mood for sushi.","Food"
"Find a place that serves authentic Mexican food.","Food"
"Where can I get some good barbecue?","Food"
"Suggest a restaurant with vegan options.","Food"
"I'm looking for a place for a nice brunch.","Food"
"Find a good seafood restaurant.","Food"
"Where can I get some delicious tacos?","Food"
"I want to find a restaurant with a great tasting menu.","Food"
"Show me some family-friendly restaurants.","Food"
"Where can I find a good steakhouse?","Food"
"I'm looking for a place with healthy food options.","Food"
"Find a restaurant with a romantic atmosphere.","Food"
"Where can I get some authentic Thai food?","Food"
"Suggest a place for a quick and casual meal.","Food"
"I'm looking for a restaurant with outdoor dining.","Food"
"Find a good spot for dessert.","Food"
"Where can I find a restaurant that's open late?","Food"
"Show me some places with a great view.","Food"
"I want to find a good bakery.","Food"
"Where can I get some good ramen?","Food"
"Suggest a restaurant for a special occasion.","Food"
"I'm looking for a place with a good buffet.","Food"
"Find a restaurant that delivers.","Food"
"Where can I find a good food truck?","Food"
"I want to try some local cuisine.","Food"
"Show me a restaurant with a gluten-free menu.","Food"
"Where can I find a good spot for a business lunch?","Food"
